vessel_id,vessel_name,imo,mmsi,vessel_class,dwt,loa_m,beam_m,draft_m,design_speed_knots,fuel_consumption_sea_t_day,fuel_consumption_port_t_day,vessel_age_years,status,current_location,eta_days_to_load_port,daily_hire_rate_usd
VSL_9003288,MV EASTERN TRADER 24,9003288,419002328,Panamax,89580,231.5,31.8,15.31,14.9,31.3,3.6,10,available,Australia Coast,1.7,18575.0
VSL_9003425,MV VISHAL NAVIGATOR 25,9003425,419002425,Handysize,13636,167.8,29.4,9.35,12.7,18.9,2.7,8,available,Singapore Strait,4.7,13006.6
VSL_9003562,MV OCEAN VOYAGER 26,9003562,419002522,Handysize,21488,175.6,27.5,10.71,13.8,16.8,2.3,14,available,Indian Ocean,5.8,13164.38
VSL_9003699,MV EASTERN ENTERPRISE 27,9003699,419002619,Panamax,70240,235.3,34.0,14.65,15.0,31.9,3.3,7,available,Australia Coast,1.6,20570.59
VSL_9003836,MV PACIFIC FORTUNE 28,9003836,419002716,Handysize,19930,181.1,25.6,10.63,13.2,16.6,2.6,14,available,Australia Coast,6.8,12679.89
VSL_9003973,MV EASTERN LEADER 29,9003973,419002813,Supramax,54075,194.4,33.6,12.26,13.6,24.4,3.2,13,available,Bay of Bengal,2.4,15413.1
VSL_9004110,MV EASTERN NAVIGATOR 30,9004110,419002910,Panamax,82386,224.7,31.9,13.6,13.8,33.8,3.7,9,available,East Coast India,4.4,20271.25
VSL_9004247,MV GLOBAL NAVIGATOR 31,9004247,419003007,Supramax,47743,188.2,33.4,13.5,14.5,25.4,2.8,11,available,Australia Coast,5.4,16220.4
VSL_9004384,MV BHARAT TRADER 32,9004384,419003104,Panamax,97964,232.2,34.0,15.13,15.0,30.5,3.3,9,available,Australia Coast,1.5,22346.84
VSL_9004521,MV VISHAL ENTERPRISE 33,9004521,419003201,Supramax,49524,200.3,34.5,13.97,14.4,23.4,2.8,17,available,Singapore Strait,3.0,15685.37
VSL_9004658,MV OCEAN ENTERPRISE 34,9004658,419003298,Supramax,50319,194.3,33.7,13.53,14.5,25.2,3.1,6,available,Bay of Bengal,6.2,14673.26
VSL_9004795,MV EASTERN LEADER 35,9004795,419003395,Capesize,104014,304.2,43.7,19.18,14.5,52.7,4.1,13,available,Bay of Bengal,2.3,26273.75
VSL_9004932,MV PACIFIC FORTUNE 36,9004932,419003492,Capesize,273837,289.6,46.4,19.23,15.2,43.8,4.4,4,available,East Coast India,3.8,26768.16
VSL_9005069,MV PACIFIC PIONEER 37,9005069,419003589,Panamax,68565,239.4,34.6,14.8,14.6,29.8,3.7,15,on_voyage,Australia Coast,6.6,19012.34
VSL_9005206,MV GLOBAL LEADER 38,9005206,419003686,Panamax,96331,217.1,34.2,14.5,14.0,30.4,3.7,11,available,Singapore Strait,3.3,22249.0
VSL_9005343,MV VISHAL CARRIER 39,9005343,419003783,Panamax,93664,226.7,32.4,13.95,13.8,33.3,3.7,21,available,Australia Coast,5.4,21003.93
VSL_9005480,MV GLOBAL FORTUNE 40,9005480,419003880,Supramax,46544,185.1,31.7,12.55,13.5,25.8,3.2,2,available,Singapore Strait,4.1,17307.13
